Acquisition,ACQuire?,ACQuire:FASTAcq Sets or queries the FastAcq feature. This feature provides a high-speed waveform capture rate to help capture signal anomalies.,"the following current acquisition parameters:
Stop after
Acquisition state
Mode
Number of averages
Sampling mode
",,,,
Acquisition,ACQuire:FASTAcq,,,"MDO models only.
",,":ACQUIRE:FASTACQ? might return: :ACQUIRE:FASTACQ:STATE 0;PALETTE
TEMPERATURE
","Sets or queries the FastAcq feature. This feature provides a high-speed waveform
capture rate to help capture signal anomalies.
"
Acquisition,ACQuire:FASTAcq:PALEtte {NORMal|TEMPErature|SPECTral|INVERTed},ACQuire:FASTAcq:PALEtte?,,"Available for MDO3000 series models only.
","NORMal – Normal displays hues and lightness levels for best overall viewing.
The color of each channel waveform matches the color of the corresponding
front-panel vertical knob.
TEMPErature - Temperature Grading displays areas of the waveform with the
highest sample density in red shades. The areas of lowest sample density appear
in blue shades.
SPECTra – Spectral Grading displays areas of the waveform with the highest
sample density in blue shades. The areas of lowest sample density appear in
red shades.
INVERTed – Inverts the normal display hues and lightness levels based on sample
intensity. The areas of lowest sample density appear the brightest, while the areas
with the highest sample density appear the darkest.
","ACQ:FASTA:PALETTE SPECT sets the palette for fast acquisition mode to
Spectral.
","Sets (or queries) which palette to use for fast acquisition mode.
"
Acquisition,ACQuire:FASTAcq:STATE {0|1|OFF|ON},ACQuire:FASTAcq:STATE?,,"Available for MDO3000 series models only.
","1 or ON turns on fast acquisition mode.
0 or OFF turns it off.
","ACQ:FASTA:STATE ON turns on fast acquisition mode.
","Turns fast acquisition mode on or off, or queries the state of the mode.
NOTE. When fast acquisition mode is on, waveforms cannot be queried, saved or
recalled, and reference waveforms cannot be turned on. Attempting any of these
results in a settings conflict error event.
"
Acquisition,ACQuire:MAGnivu {<NR1>|OFF|ON},ACQuire:MAGnivu?,,,"<NR1> = 0 disables the MagniVu feature; any other value turns this feature on.
ON enables the MagniVu feature.
OFF disables the MagniVu feature.
",,"Turns on the MagniVu feature, which provides up to 32 times signal detail for fast
viewing of short events. This feature is not recommended for slow data formats
such as RS-232.
NOTE. MagniVu channel sampling is available on MSO/MDO4000/B
oscilloscopes only as well as MDO3000 models with option MDO3MSO installed.
"
Acquisition,ACQuire:MAXSamplerate?,,"the maximum real-time sample rate, which varies from model to model.
",,,"ACQUIRE:MAXSAMPLERATE? might return 2.5000E+9 indicating the maximum
real-time sample rate is 2.5GS/s.
",
Acquisition,ACQuire:MODe {SAMple|PEAKdetect|HIRes|AVErage|ENVelope},ACQuire:MODe?,,,"SAMple specifies that the displayed data point value is the first sampled value
that is taken during the acquisition interval. In sample mode, all waveform data
has 8 bits of precision. You can request 16 bit data with a CURVe query but the
lower-order 8 bits of data will be zero. SAMple is the default mode.
PEAKdetect specifies the display of high-low range of the samples taken from a
single waveform acquisition. The high-low range is displayed as a vertical column
that extends from the highest to the lowest value sampled during the acquisition
interval. PEAKdetect mode can reveal the presence of aliasing or narrow spikes.
HIRes specifies Hi Res mode where the displayed data point value is the
average of all the samples taken during the acquisition interval. This is a form
of averaging, where the average comes from a single waveform acquisition. The
number of samples taken during the acquisition interval determines the number of
data values that compose the average.
AVErage specifies averaging mode, in which the resulting waveform shows an
average of SAMple data points from several separate waveform acquisitions. The
oscilloscope processes the number of waveforms you specify into the acquired
waveform, creating a running exponential average of the input signal. The number
of waveform acquisitions that go into making up the average waveform is set or
queried using the ACQuire:NUMAVg command.
ENVelope specifies envelope mode, where the resulting waveform shows the
PEAKdetect range of data points from every waveform acquisition.
","ACQUIRE:MODE ENVELOPE sets the acquisition mode to display a waveform that
is an envelope of many individual waveform acquisitions.
ACQUIRE:MODE? might return:ACQuire:MODe AVERAGE indicating that
the displayed waveform is the average of the specified number of waveform
acquisitions.
","Specifies the acquisition mode of the oscilloscope for all analog channel
waveforms. The acquisition mode determines how the final value of the
acquisition interval is generated from the many data samples.
Waveforms are the displayed data point values taken from acquisition intervals.
Each acquisition interval represents a time duration set by the horizontal scale
(time per division). The oscilloscope sampling system always samples at the
maximum rate, so the acquisition interval may include more than one sample.
"
Acquisition,ACQuire:NUMACq?,,"the number of waveform acquisitions that have occurred since starting
acquisition with the ACQuire:STATE RUN command. This value is reset to zero
when any acquisition, horizontal, or vertical arguments that affect the waveform
are changed. The maximum number of acquisitions that can be counted is 232 1.
ACQuire:NUMACq? might return :ACQUIRE:NUMACQ 350 indicating that 350
acquisitions have occurred since executing an ACQuire:STATE RUN command.
",,,,
Acquisition,ACQuire:NUMAVg <NR1>,ACQuire:NUMAVg?,,,"<NR1> is the number of waveform acquisitions to average. The range of values is
from 2 to 512 in powers of two.
","ACQUIRE:NUMAVG 16 specifies that 16 waveform averages will be performed
before exponential averaging starts.
ACQUIRE:NUMAVG? might return :ACQUIRE:NUMAVG 64 indicating that there
are 64 acquisitions specified for averaging.
","Specifies the number of waveform acquisitions that should make up an averaged
waveform. Use the ACQuire:MODe command to enable the Average mode.
Sending this command is equivalent to turning a multipurpose knob to enter the
number of waveform acquisitions to average.
"
Acquisition,ACQuire:NUMEnv {<NR1>|INFInite},ACQuire:NUMEnv?,,,"<NR1> is an integer that specifies the number of envelopes to use when the
acquisition mode has been set to ENVelope.
INFInite specifies to use an infinite number of envelopes.
","ACQuire:NUMEnv 22 sets the number of envelopes to 22.
ACQuire:NUMEnv? returns the number of envelopes that has been specified,
either an integer or INFINITE.
","This command controls the number of envelopes (when acquisition mode has
been set to ENVelope using ACQuire:MODe). The number of envelopes can
be set from 1 to 2000 in increments of 1, or to INFInite. Setting the value to a
number greater than 2000 sets the number of envelopes to INFInite.
"
Acquisition,ACQuire:STATE {OFF|ON|RUN|STOP|<NR1>},ACQuire:STATE?,,,"OFF stops acquisitions.
STOP stops acquisitions.
ON starts acquisitions.
RUN starts acquisitions.
<NR1> = 0 stops acquisitions; any other value starts acquisitions.
","ACQUIRE:STATE RUN starts the acquisition of waveform data and resets the count
of the number of acquisitions.
ACQUIRE:STATE? might return:ACQUIRE:STATE 0 indicating that the
acquisition is stopped.
","Starts or stops acquisitions. When state is set to ON or RUN, a new acquisition
will be started. If the last acquisition was a single acquisition sequence, a new
single sequence acquisition will be started. If the last acquisition was continuous,
a new continuous acquisition will be started.
If RUN is issued in the process of completing a single sequence acquisition (for
example, averaging or enveloping), the acquisition sequence is restarted, and
any accumulated data is discarded. Also, the oscilloscope resets the number of
acquisitions. If the RUN argument is issued while in continuous mode, acquisition
continues.
"
Acquisition,ACQuire:STOPAfter {RUNSTop|SEQuence},ACQuire:STOPAfter?,,,"RUNSTop specifies that the oscilloscope will continually acquire data, if
ACQuire:STATE is turned on.
SEQuence specifies that the next acquisition will be a single-sequence acquisition.
","ACQUIRE:STOPAFTER RUnsTOP sets the oscilloscope to continually acquire data.
ACQUIRE:STOPAFTER? might return:ACQUIRE:STOPAFTER SEQUENCE
indicating that the next acquisition the oscilloscope makes will be of the
single-sequence type.
","Specifies whether the oscilloscope should continually acquire acquisitions or
acquire only a single sequence.
"
